0352-0189	0337-0171	0286-0282	0191-0179	0333-0052	0238-0025	0092-0194	0108-0187	0150-0210	0385-0257	0467-0211	0424-0101	0394-0028	0303-0091	0236-0141	0241-0121	0265-0080	0249-0282	0215-0224	0150-0114	0113-0055	0056-0089	0480-0313	0428-0179	0362-0184	0040-0395	0483-0444	0473-0431	0453-0320	0500-0178	0457-0132	0359-0116	0309-0174	0242-0205	0207-0185	0139-0068	0257-0011	0216-0085	0171-0179	0389-0271	0359-0343	Average	Err
1325506.734	1142640.400	1895157.109	1269585.704	783823.045	922320.611	1409207.800	1277898.582	738729.272	729267.184	696709.829	734942.277	1463897.864	2018935.529	949728.889	507185.788	2229703.761	150822.653	336430.123	1784728.037	1499665.295	979679.311	1109527.721	678268.476	891711.514	1298265.054	775934.373	638288.302	725165.507	1547871.963	953336.946	900127.743	1294328.431	786699.927	1151636.633	1953598.689	1598725.670	1029794.131	1077206.378	722666.553	1857510.834	1117981.235	73560.913
1242237.587	1069775.847	1741318.744	1343366.540	723207.993	951723.424	1402102.750	1067852.270	753880.336	839443.275	776332.355	701423.904	1439121.201	2062742.804	903231.382	482203.964	2304649.233	187689.932	348954.200	1908649.916	1497319.055	956539.309	1075139.342	726154.290	874507.298	1169572.025	807538.424	711398.123	641860.880	1673857.792	912881.662	908642.697	1277071.767	692150.009	1062215.741	1627280.072	1674877.427	1087157.458	1098941.104	701595.129	1903523.976	1105612.957	73153.436
1179444.434	991665.034	1731747.134	1418276.533	857094.835	983281.198	1423387.048	1205316.318	813281.390	868097.944	788651.271	862575.565	1467603.102	1916695.930	854899.767	475371.948	2218119.106	154237.889	329894.280	1684068.023	1541624.579	865467.873	1094117.507	741990.252	791471.078	1251327.917	830450.127	641305.557	663194.541	1669822.445	898935.341	925269.994	1204457.110	681162.326	1008949.463	1498056.401	1701935.542	1079183.945	1097381.572	767528.942	2021974.380	1102422.333	70560.252
1110155.545	958280.863	1524472.809	1248714.813	804163.294	946032.905	1394443.920	1138228.667	782360.695	760157.028	789049.252	689555.417	1540782.339	1945259.588	818092.647	435765.075	1985731.839	149894.029	378694.834	1724970.650	1540890.318	846923.168	1117408.681	833211.317	836785.438	1291409.900	824511.256	643378.763	708926.935	1582379.119	811575.314	1002032.606	1223791.607	765150.308	1079142.295	1587372.399	1694577.512	1082184.232	1141252.092	606030.204	1869448.737	1078370.449	67536.790
1281656.268	1073229.648	1626990.070	1273331.050	805798.412	1049899.910	1387747.649	1143305.245	755552.475	748899.396	762993.804	629019.035	1490399.113	1785244.796	874388.520	532909.585	2088060.907	169776.136	362610.519	1757039.013	1519366.923	810729.989	1032239.094	752529.049	790419.049	1331871.353	782946.869	606906.380	686959.282	1570103.395	907569.072	968142.475	1364590.679	817093.066	999220.512	1484932.266	1663153.941	1102212.883	1165616.891	762531.034	1911213.658	1088517.059	67347.767
1259458.772	978371.217	1800755.277	1295286.363	755844.019	964054.681	1314910.862	1146438.192	781404.305	721383.140	757349.562	697331.482	1504049.262	1821467.284	735047.172	443121.562	1999787.682	161893.634	341151.912	1865492.061	1515738.812	810955.204	964444.949	718256.362	834392.921	1311660.680	759564.684	650850.943	650061.151	1659860.567	995411.922	844689.536	1293240.923	723283.579	923128.915	1383564.216	1675019.343	1022112.162	1003408.573	703734.665	1906439.422	1065717.511	69931.062
1329645.434	1094163.784	1833343.484	1263063.744	743978.617	985743.130	1231004.636	1200233.569	748236.094	677583.578	787184.292	768636.503	1468394.438	2188000.544	844439.640	535741.733	2043172.295	153005.381	373243.413	1500377.960	1490832.574	778498.114	1081136.831	777854.865	829800.708	1333987.751	837320.707	584534.574	695448.011	1602238.088	890562.304	1002581.759	1246325.382	733285.564	1018531.871	1322853.524	1588814.696	1052437.427	1072379.695	657483.969	1903075.090	1079735.994	69167.076
1325289.233	1078372.556	1537738.860	1323151.239	847450.725	939663.659	1311228.762	1182321.316	860048.845	739500.554	687584.020	760575.063	1573163.842	1840234.118	916801.318	436087.470	2064192.815	152827.986	307639.709	1567141.672	1551496.988	761662.571	1079639.001	712399.247	935356.820	1257106.362	732380.078	664818.860	723869.753	1610330.379	1013628.060	897995.920	1272152.531	790432.932	959016.666	1302015.027	1700607.395	1026770.705	1008883.133	681477.009	1820745.364	1072043.867	66097.051
1187513.587	991530.830	1574515.128	1333504.929	796541.485	930767.692	1353896.082	1081164.597	771203.329	740614.285	702415.773	706395.588	1561099.449	1635292.150	907243.591	459091.727	1966298.618	123624.164	356083.931	1591153.223	1497336.024	781313.294	1037779.984	692318.149	821202.456	1258985.204	735253.875	620710.785	636446.481	1598247.475	849374.303	878342.112	1283081.597	802589.879	1043657.153	1309454.813	1731210.322	1086052.982	1073888.322	618693.112	1930272.036	1050150.257	66071.059
1263773.323	1112938.330	1792737.030	1311279.667	885379.289	956815.428	1276332.879	1100981.917	788830.208	783937.195	709787.686	759600.163	1486403.872	2012475.271	1066263.429	491062.909	2103139.470	179338.491	379004.890	1432181.205	1401225.031	786400.670	963613.507	660368.563	880168.508	1320804.999	781486.061	517334.316	662537.408	1622320.729	938333.968	931344.611	1182143.921	720801.593	1038451.000	1211873.757	1735492.479	1116702.186	1071316.868	675487.233	2005171.231	1075991.251	68802.314
