0352-0189	0337-0171	0286-0282	0191-0179	0333-0052	0238-0025	0092-0194	0108-0187	0150-0210	0385-0257	0467-0211	0424-0101	0394-0028	0303-0091	0236-0141	0241-0121	0265-0080	0249-0282	0215-0224	0150-0114	0113-0055	0056-0089	0480-0313	0428-0179	0362-0184	0040-0395	0483-0444	0473-0431	0453-0320	0500-0178	0457-0132	0359-0116	0309-0174	0242-0205	0207-0185	0139-0068	0257-0011	0216-0085	0171-0179	0389-0271	0359-0343	Average	Err
2	15	14	15	3	8	15	15	0	10	0	15	15	15	1	0	15	0	0	15	15	14	0	10	1	15	0	0	15	13	1	15	13	15	15	15	15	9	13	0	15	15	15
1	15	14	15	7	3	14	11	0	9	0	15	15	15	0	0	14	1	0	12	14	7	0	5	0	15	2	0	14	13	2	14	14	14	15	6	15	6	8	2	15	15	15
0	16	12	16	16	4	16	14	1	4	1	16	16	15	1	0	15	0	0	3	16	6	0	2	1	16	0	1	14	16	1	8	14	16	16	4	16	4	3	0	12	16	16
0	15	11	14	13	1	15	10	0	1	0	15	15	15	0	0	15	1	0	0	15	3	0	0	0	14	0	0	8	15	2	5	12	14	15	7	14	6	1	0	14	15	15
1	15	10	8	12	2	14	2	1	3	1	15	14	15	0	0	15	0	0	0	15	1	0	1	0	15	0	0	8	11	1	4	10	14	15	7	15	10	0	1	15	15	15
2	15	15	13	15	3	16	5	0	5	0	16	16	16	0	1	16	0	0	1	16	0	0	0	0	15	0	1	4	8	0	1	11	16	16	1	15	8	0	0	15	16	16
8	15	13	9	15	2	15	7	0	0	0	15	15	15	0	0	15	0	0	0	15	0	0	0	0	15	0	2	10	9	0	4	0	15	15	0	15	9	0	0	15	15	15
14	16	15	10	15	0	16	6	0	0	0	16	16	16	0	0	16	0	0	0	16	0	0	0	0	16	0	10	6	16	0	2	4	15	16	6	16	9	0	0	16	16	16
12	15	13	6	12	1	15	0	0	0	0	15	15	15	0	0	15	0	0	6	15	0	0	0	0	15	0	6	6	9	0	3	2	10	15	0	15	7	0	0	15	15	15
15	15	14	5	14	0	15	1	0	0	0	15	15	15	0	0	15	0	0	0	15	0	0	0	0	15	0	8	10	7	1	1	1	12	15	0	15	9	0	0	15	15	15
16	16	15	6	14	3	16	6	0	0	0	16	16	16	0	0	15	0	0	9	16	0	0	0	0	16	0	7	10	9	0	0	0	7	16	0	16	5	0	0	16	16	16
13	15	13	6	11	0	15	3	0	0	0	15	15	15	0	0	15	0	0	7	15	0	0	0	0	15	0	10	6	13	0	0	7	9	15	1	15	3	0	0	15	15	15
16	16	16	5	14	1	15	6	0	0	0	16	16	16	0	0	16	0	0	2	16	0	0	0	0	16	0	12	11	13	0	0	0	11	16	4	16	2	0	0	16	16	16
15	15	15	7	14	1	14	6	0	0	0	15	15	15	0	0	13	0	0	2	15	0	0	0	1	15	0	12	12	13	0	3	0	10	15	2	15	5	0	0	15	15	15
15	15	13	6	12	0	14	6	0	0	0	15	15	15	0	0	14	0	0	2	15	0	0	1	2	15	0	11	9	15	0	0	0	11	15	0	15	1	0	0	15	15	15
16	16	16	10	10	0	14	3	0	0	0	16	16	16	0	0	12	0	0	1	16	0	0	0	0	16	0	8	16	15	1	0	0	8	16	0	16	0	0	0	16	16	16
15	15	14	5	12	0	15	3	0	0	0	15	15	15	0	0	8	0	0	2	15	0	0	0	1	15	0	10	11	14	1	0	2	6	15	0	15	1	0	0	15	15	15
15	15	15	8	10	0	14	1	0	0	0	15	15	15	0	0	7	0	0	6	15	0	0	0	0	15	0	7	11	13	1	0	0	6	15	0	15	0	0	0	15	15	15
15	16	15	8	4	0	12	1	0	0	0	15	16	16	0	0	5	0	0	1	16	0	0	0	2	16	0	12	9	13	0	0	0	6	16	0	16	0	0	0	16	16	16
15	15	15	12	3	1	14	3	0	1	0	15	15	15	0	0	3	0	0	0	15	0	0	0	0	15	0	5	8	15	0	0	0	6	15	3	15	0	0	0	15	15	15
