Minutes	Total spikes	 Mean spikes
0	405	9.878048780487806
1	342	8.341463414634147
2	331	8.073170731707316
3	281	6.853658536585366
4	271	6.609756097560975
5	284	6.926829268292683
6	265	6.463414634146342
7	305	7.439024390243903
8	259	6.317073170731708
9	262	6.390243902439025
10	283	6.902439024390244
11	269	6.560975609756097
12	268	6.536585365853658
13	299	7.2926829268292686
14	267	6.512195121951219
15	274	6.682926829268292
16	254	6.195121951219512
17	246	6.0
18	247	6.024390243902439
19	238	5.804878048780488
20	238	5.804878048780488
21	222	5.414634146341464
22	211	5.146341463414634
23	233	5.682926829268292
24	319	7.780487804878049
25	303	7.390243902439025
26	277	6.7560975609756095
27	253	6.170731707317073
28	270	6.585365853658536
29	248	6.048780487804878
30	234	5.7073170731707314
31	231	5.634146341463414
32	209	5.097560975609756
33	241	5.878048780487805
34	215	5.2439024390243905
35	210	5.121951219512195
36	220	5.365853658536586
37	212	5.170731707317073
38	197	4.804878048780488
39	205	5.0
40	198	4.829268292682927
41	220	5.365853658536586
42	192	4.682926829268292
43	190	4.634146341463414
44	199	4.853658536585366
45	229	5.585365853658536
46	199	4.853658536585366
47	200	4.878048780487805
48	193	4.7073170731707314
49	203	4.951219512195122
50	192	4.682926829268292
51	204	4.975609756097561
52	187	4.560975609756097
53	182	4.439024390243903
54	205	5.0
55	171	4.170731707317073
56	171	4.170731707317073
57	170	4.146341463414634
58	169	4.121951219512195
59	183	4.463414634146342
60	158	3.8536585365853657
61	179	4.365853658536586
62	166	4.048780487804878
63	149	3.6341463414634148
64	153	3.731707317073171
65	158	3.8536585365853657
66	168	4.097560975609756
67	168	4.097560975609756
68	159	3.8780487804878048
69	150	3.658536585365854
70	129	3.1463414634146343
71	140	3.4146341463414633
72	134	3.268292682926829
73	143	3.4878048780487805
74	122	2.975609756097561
75	111	2.707317073170732
76	110	2.682926829268293
77	89	2.1707317073170733
78	75	1.829268292682927
79	83	2.024390243902439
80	89	2.1707317073170733
81	87	2.1219512195121952
82	78	1.9024390243902438
83	60	1.4634146341463414
84	59	1.4390243902439024
85	56	1.3658536585365855
86	51	1.2439024390243902
87	53	1.2926829268292683
88	53	1.2926829268292683
89	49	1.1951219512195121
90	50	1.2195121951219512
91	0	0.0
