X	Y
1	1117981.250
2	1105613.000
3	1102422.375
4	1078370.500
5	1088517.000
6	1065717.500
7	1079736.000
8	1072043.875
9	1050150.250
10	1075991.250
11	1111233.875
12	1074085.375
13	1074563.500
14	1087922.500
15	1089698.000
16	1052925.750
17	1079652.750
18	1056716.375
19	1038329.062
20	1049770.500
21	1043274.938
22	1061326.125
23	1032423.625
24	1047356.250
25	1016598.688
26	1051060.750
27	998383.375
28	1063577.125
29	1051158.000
30	1016083.812
31	1042735.250
32	1078886.250
33	1035555.438
34	998287.438
35	1015243.500
36	990946.750
37	1029714.500
38	1017458.000
39	979456.562
40	981168.188
41	1038557.125
42	1030125.062
43	1004827.938
44	995815.125
45	1011365.250
46	1011701.188
47	1057153.250
48	995307.750
49	977517.000
50	1008229.875
51	1005110.875
52	980509.125
53	1015061.562
54	981244.875
55	998104.688
56	984896.812
57	976297.312
58	966566.250
59	1010021.438
60	975471.250
61	982274.812
62	965922.562
63	970499.562
64	984892.500
65	963014.375
66	962355.312
67	944377.375
68	957854.438
69	991408.688
70	974785.125
71	982382.938
72	972993.062
73	986271.688
74	968363.562
75	971437.188
76	968384.938
77	980205.438
78	979013.438
79	955075.688
80	992575.500
81	1016367.312
82	984181.125
83	994267.812
84	976187.375
85	957208.750
86	977714.562
87	987549.438
88	973478.875
89	961330.250
90	970952.062
91	949432.312
92	953031.000
93	956236.500
94	971675.875
95	962949.250
96	962458.938
97	968845.500
98	964952.438
99	967043.438
100	989084.250
101	967749.812
102	977590.250
103	955554.062
104	958333.562
105	955576.500
106	960669.062
107	972014.062
108	959721.688
109	983766.625
110	942148.812
111	956929.750
112	966251.000
113	955605.188
114	964042.938
115	967491.750
116	976049.312
117	963019.312
118	977228.125
119	959328.688
120	981107.000
121	973634.312
122	968003.125
123	969217.438
124	966489.438
125	955379.312
126	931088.938
127	960823.750
128	976751.500
129	954854.812
130	949739.375
131	964179.188
132	952878.188
133	949474.562
134	957789.812
135	959169.125
136	951576.188
137	970163.562
138	942544.938
139	939283.688
140	952410.062
141	940243.750
142	942688.250
143	953318.750
144	968948.375
145	967300.750
146	944657.750
147	955313.438
148	955940.188
149	970664.875
150	955203.875
151	953134.625
152	963545.938
153	970432.250
154	956428.062
155	966941.250
156	956766.062
157	956051.062
158	962659.312
159	960287.688
160	962899.875
161	967831.250
162	937475.688
163	946143.562
164	950206.125
165	958394.875
166	937356.188
167	958444.750
168	942043.438
169	934079.250
170	949742.625
171	945556.312
172	946438.625
173	930798.812
174	952561.812
175	957255.562
176	945230.438
177	959011.812
178	965586.500
179	962348.312
180	961365.625
181	973935.312
182	966286.500
183	969999.750
184	969987.125
185	965405.375
186	936901.625
187	962732.500
188	942861.250
189	931176.125
190	947120.250
191	973055.938
192	972884.438
193	947323.062
194	959490.875
195	970566.312
196	946129.688
197	937411.312
198	944590.438
199	968115.438
200	952937.750
201	950109.688
202	968133.250
203	962606.812
204	965231.188
205	944150.438
206	969605.875
207	937707.375
208	933513.000
209	943797.062
210	949792.875
211	958451.125
212	968323.562
213	993037.375
214	986770.375
215	1013938.938
216	968700.188
217	973976.688
218	965664.688
219	976709.562
220	954884.812
221	962134.250
222	961805.688
223	955934.562
224	933240.688
225	966487.188
226	985438.438
227	975825.312
228	981017.375
229	961276.125
230	985968.000
231	962847.938
232	965608.562
233	954277.938
234	953247.562
235	970798.688
236	949688.875
237	964490.750
238	966285.688
239	947019.375
240	938052.500
241	954458.500
242	953260.875
243	947062.000
244	939786.375
245	953040.312
246	936525.375
247	950771.250
248	944952.812
249	956278.250
250	935155.188
251	943898.562
252	945853.812
253	969006.688
254	959439.188
255	961303.438
256	961559.500
257	962614.062
258	954142.375
259	957170.125
260	937469.188
261	957937.312
262	951790.188
263	952071.938
264	950543.438
265	961206.562
266	948886.062
267	961495.688
268	945289.875
269	963225.812
270	935497.875
271	946013.375
272	937765.500
273	941662.438
274	938082.812
275	950833.062
276	937224.625
277	926071.125
278	949205.312
279	941269.938
280	941226.375
281	930361.062
282	959245.500
283	923609.500
284	925320.125
285	900934.562
286	937979.250
287	920675.062
288	915390.000
289	946247.750
290	943116.500
291	936499.438
292	923796.375
293	931689.562
294	932921.500
295	941508.875
296	951744.750
297	941604.812
298	934084.125
299	939807.750
300	939735.625
301	936530.875
302	929320.875
303	941193.250
304	936662.438
305	941811.438
306	919328.500
307	922996.000
308	934355.500
309	928520.875
310	912133.812
311	942667.500
312	935988.625
313	935632.875
314	946521.375
315	942443.625
316	941243.688
317	931025.688
318	927970.938
319	927340.188
320	925756.125
321	908005.188
322	911519.812
323	921050.750
324	919013.188
325	930186.125
326	904669.812
327	923503.375
328	918526.250
329	906092.188
330	926435.250
331	906645.125
332	915378.188
333	899953.000
334	931257.312
335	921305.625
336	936174.688
337	926773.438
338	927933.312
339	913301.875
340	921184.438
341	914559.000
342	911747.625
343	908853.938
344	920484.750
345	920908.000
346	924956.875
347	915747.000
348	902855.875
349	909703.625
350	911296.000
351	909230.062
352	912481.375
353	918206.875
354	912925.438
355	914450.125
356	922821.125
357	919194.500
358	903209.688
359	898263.750
360	909627.500
361	897571.312
362	923189.312
363	917460.312
364	933936.438
365	921867.125
366	916307.375
367	888629.312
368	928822.000
369	915314.562
370	898468.938
371	918274.000
372	988502.562
373	1025292.000
374	1047556.125
375	1062749.125
376	1074358.750
377	1070604.000
378	1064561.375
379	1067369.000
380	1059860.625
381	1068418.125
382	1037284.812
383	1026909.375
384	1049520.500
385	1041479.875
386	1040306.125
387	1047962.312
388	1037207.188
389	1036087.625
390	1014588.438
391	1038107.500
392	1020337.500
393	1019348.312
394	1050127.375
395	1025188.688
396	1027337.250
397	1027405.438
398	1003474.000
399	1009593.938
400	1006461.562
401	1005988.812
402	1001636.750
403	998709.438
404	991438.375
405	985705.062
406	991918.000
407	985869.812
408	979479.188
409	975887.375
410	976295.438
411	986433.438
412	968951.312
413	987978.062
414	987116.312
415	953162.438
416	970411.000
417	956377.375
418	970372.250
419	980009.750
420	968907.750
421	975520.750
422	970738.688
423	959424.250
424	945599.750
425	966297.312
426	957754.062
427	962497.688
428	959715.625
429	977564.625
430	972205.188
431	980260.188
432	961178.438
433	966477.688
434	960337.750
435	973037.688
436	969997.812
437	974088.625
438	971489.438
439	962433.875
440	976706.562
441	961310.875
442	963674.938
443	960604.062
444	959203.750
445	962462.438
446	953439.312
447	938407.688
448	944090.688
449	964485.500
450	950763.062
451	952150.188
452	936121.688
453	939259.562
454	935724.125
455	946207.750
456	944939.125
457	951378.875
458	942778.875
459	936974.688
460	945051.438
461	957651.250
462	951356.500
463	927702.250
464	951905.875
465	940593.250
466	926190.125
467	934990.375
468	930636.375
469	951132.375
470	929891.562
471	948507.062
472	941961.000
473	950369.500
474	935161.875
475	948472.062
476	948098.000
477	955624.312
478	944901.188
479	932615.375
480	968147.000
481	936618.250
482	963980.562
483	935857.062
484	918930.062
485	918520.625
486	930595.812
487	933946.500
488	934024.250
489	921651.312
490	934795.062
491	926420.500
492	926558.500
493	940952.438
494	923252.375
495	926506.250
496	922933.375
497	927989.438
498	929441.312
499	924338.500
500	933041.188
501	918366.188
502	908408.812
503	923296.125
504	918584.812
505	924059.250
506	912384.375
507	920951.062
508	923797.250
509	930098.688
510	932721.125
511	942357.250
512	922424.250
513	920864.438
514	913047.875
515	910865.312
516	927813.062
517	913088.688
518	924622.312
519	934934.250
520	923859.688
521	921437.562
522	920479.312
523	923960.000
524	916427.625
525	930237.562
526	918891.312
527	942008.375
528	931019.062
529	935566.938
530	933042.688
531	911857.562
532	911723.938
533	923060.312
534	931425.438
535	909514.750
536	931454.500
537	901806.375
538	914154.938
539	927160.188
540	899768.188
541	907322.375
542	922069.250
